hole,yards,par
1,512,5
2,360,4
3,379,4
4,334,4
5,161,3
6,406,4
7,546,5
8,132,3
9,449,4
10,525,5
11,362,4
12,175,3
13,286,4
14,378,4
15,200,3
16,551,5
17,195,3
18,549,5
