hole,yards,par
1,367,4
2,432,4
3,420,4
4,165,3
5,358,4
6,151,3
7,541,5
8,315,4
9,524,5
10,450,4
11,187,3
12,377,4
13,531,5
14,211,3
15,388,4
16,441,4
17,447,4
18,547,5
